retrieved||,||target||,||id
[var3]+[var2]整個乘以cos[Pspa][var1][SEP][Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1] [SEP][Plbb][var2][Pmin][var3][Prbb][Pexp][Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb] [SEP][Plbb][Pbeg]cos[Plbb][var2][Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plsb][var3][Pplu][var2][Prsb][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] [SEP][var2][Pmin][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] [SEP]||,||[Plsb][var3][Pplu][var2][Prsb][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] ||,||53
4加括號cos[Pspa]7[Pspa]加[Pspa]6括號[SEP][Pbeg]log[Psub][Plbb][var2][Prbb][var1][Pmin][Pbeg]log[Psub][Plbb]6[Prbb][var3] [SEP][Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]5[Pmin][Pbeg]frac[Plbb][var3][Prbb][Plbb]7[Pmin][var1][Prbb][Prbb][Plbb][Pbeg]sqrt[Plbb][var2][Prbb][Prbb][Prbb][Plsb][Pbeg]cos[Plbb][Plbb][var4][Prbb][Pexp][Plbb][var5][Prbb][Prbb][Prsb] [SEP][Pbeg]cos[Plbb][Pbeg]frac[Plbb]7[Prbb][Plbb][var1][Pmin][var2][Prbb][Prbb] [SEP]4[Pplu][Plsb][Plsb][Pbeg]cos[Plbb]7[Prbb][Prsb][Pplu]6[Prsb] [SEP][Plbb][var1][Prbb][Pexp][Plbb][Plbb]6[Prbb][Pexp][Plbb]7[Prbb][Prbb] [SEP]||,||4[Pplu][Plsb][Plsb][Pbeg]cos[Plbb]7[Prbb][Prsb][Pplu]6[Prsb] ||,||54
sin[Pspa][var2][Pspa]乘上[var1][SEP][Pbeg]sin[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb] [SEP][Pbeg]frac[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb] [SEP][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][var2] [SEP][Plsb][Pbeg]sin[Plbb][var2][Prbb][Prsb][var1] [SEP][Pbeg]sin[Plbb][Plbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Pplu][var3][Prbb] [SEP]||,||[Plsb][Pbeg]sin[Plbb][var2][Prbb][Prsb][var1] ||,||55
7加log[Pspa]1[Pspa][var1][SEP][Pbeg]log[Psub][Plbb]7[Pmin][var1][Prbb][var2] [SEP][Plsb][Pbeg]sqrt[Plbb]7[Prbb][Prsb][Pmin][Plsb]1[Pmin][var1][Prsb] [SEP][Pbeg]log[Psub][Plbb]7[var1][Prbb][var2] [SEP][Pbeg]log[Psub][Plbb]7[Prbb][var1][Pbeg]frac[Plbb][var3][Prbb][Plbb][var2][Prbb] [SEP][Pbeg]log[Psub][Plbb]7[Prbb][var1] [SEP]||,||7[Pplu][Pbeg]log[Psub][Plbb]1[Prbb][var1] ||,||56
tan[Pspa]7[SEP][Pbeg]tan[Plbb]7[Prbb] [SEP][Pbeg]sin[Plbb]7[Prbb] [SEP][Pbeg]cos[Plbb]7[Prbb] [SEP][Pbeg]tan[Plbb]8[Prbb] [SEP]7[Pplu][Plsb][Pbeg]tan[Plbb]6[Prbb][Prsb] [SEP]||,||[Pbeg]tan[Plbb]7[Prbb] ||,||57
cos[Pspa][var1][SEP][Pbeg]cos[Plbb][var1][Prbb] [SEP][var1][Pplu][Plsb][Pbeg]cos[Plbb][var2][Prbb][Prsb] [SEP][Pbeg]cos[Plbb][Pbeg]pi[Prbb] [SEP][var2][Pmin][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] [SEP][Pbeg]sqrt[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb] [SEP]||,||[Pbeg]cos[Plbb][var1][Prbb] ||,||58
pi[Pspa]分之[Pspa][var1]以0為底的對數[SEP][Pbeg]frac[Plbb][Pbeg]pi[Prbb][Plbb][Pbeg]log[Psub][Plbb]0[Prbb][var1][Prbb] [SEP][Plbb][Pbeg]log[Psub][Plbb][var4][Prbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb][Prbb][Pexp][Plbb][var3][Prbb] [SEP][Pbeg]frac[Plbb][var3][Prbb][Plbb][Pbeg]log[Psub][Plbb][var1][Prbb][var2][Prbb] [SEP][Plbb]1[Prbb][Pexp][Plbb][Pbeg]log[Psub][Plbb][Pbeg]pi[Prbb][var1][Prbb] [SEP][Pbeg]log[Psub][Plbb][var4][Pmin][var1][Prbb][Plbb][var2][Prbb][Pexp][Plbb][var3][Prbb] [SEP]||,||[Pbeg]frac[Plbb][Pbeg]pi[Prbb][Plbb][Pbeg]log[Psub][Plbb]0[Prbb][var1][Prbb] ||,||59
sin[Pspa][var1]乘以[var2][SEP][Pbeg]frac[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb] [SEP][Pbeg]sin[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb] [SEP][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][var2] [SEP][Plsb][Pbeg]sin[Plbb][var2][Prbb][Prsb][var1] [SEP][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][Pmin][var2] [SEP]||,||[Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][var2] ||,||60
[var1]加[var2]的sin值[SEP][Pbeg]sin[Plbb][Plbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Pplu][var3][Prbb] [SEP][Pbeg]sin[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb] [SEP][Pbeg]frac[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb] [SEP][Plbb][var2][Prbb][Pexp][Plbb][Pbeg]sin[Plbb][Plbb][var1][Prbb][Pexp][Plbb][Pbeg]pi[Prbb][Prbb][Prbb] [SEP][Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Prbb][var1] [SEP]||,||[Pbeg]sin[Plbb][var1][Pplu][var2][Prbb] ||,||61
[var1]加cos[Pspa][var2][SEP][Plbb][Pbeg]cos[Plbb][var2][Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][var1][Pplu][Plsb][Pbeg]cos[Plbb][var2][Prbb][Prsb] [SEP][Plbb][var2][Pmin][var3][Prbb][Pexp][Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb] [SEP][var2][Pmin][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] [SEP][Pbeg]cos[Plbb][Pbeg]pi[Prbb] [SEP]||,||[var1][Pplu][Plsb][Pbeg]cos[Plbb][var2][Prbb][Prsb] ||,||62
3又6的5次方分之0[SEP][Plbb]3[Prbb][Pexp][Plbb][Plbb]6[Prbb][Pexp][Plbb]0[Prbb][Prbb] [SEP]3[Pbeg]frac[Plbb]0[Prbb][Plbb][Plbb]6[Prbb][Pexp][Plbb]5[Prbb][Prbb] [SEP][Plbb]6[Prbb][Pexp][Plbb][Pbeg]frac[Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb][Prbb][Plbb][Pbeg]pi[Prbb][Prbb] [SEP][var1][Pbeg]frac[Plbb]6[Prbb][Plbb][Plbb]5[Prbb][Pexp][Plbb][Pbeg]frac[Plbb]2[Prbb][Plbb]1[Prbb][Prbb][Prbb] [SEP][Pbeg]frac[Plbb][Pbeg]log[Psub][Plbb]5[Prbb][var1][Prbb][Plbb][Pbeg]log[Psub][Plbb]2[Prbb][Pbeg]frac[Plbb][var3][Prbb][Plbb][var2][Prbb][Prbb] [SEP]||,||3[Pbeg]frac[Plbb]0[Prbb][Plbb][Plbb]6[Prbb][Pexp][Plbb]5[Prbb][Prbb] ||,||63
sin[Pspa]6[SEP][Pbeg]sin[Plbb]6[Prbb] [SEP][Plbb]6[Prbb][Pexp][Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][var2] [SEP][Pbeg]sin[Plbb]7[Prbb] [SEP][Pbeg]cos[Plbb][Pbeg]tan[Plbb]6[Prbb][Prbb] [SEP][Pbeg]log[Psub][Plbb]6[Prbb][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb] [SEP]||,||[Pbeg]sin[Plbb]6[Prbb] ||,||64
[var1]加[Pspa]tan[Pspa]3[Pspa]乘以[Pspa]5加9[SEP][Plbb][Pbeg]tan[Plbb]9[Prbb][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb] [SEP][Plsb][var1][Pplu][Plsb][Pbeg]tan[Plbb]3[Prbb][Prsb][Prsb][Plsb]5[Pplu]9[Prsb] [SEP][Plsb][Pbeg]tan[Plbb][var2][Prbb][Prsb][Plsb]9[Plsb][var1][Pmin][var3][Prsb][Prsb] [SEP][Pbeg]log[Psub][Plbb]9[Prbb][var2][Pplu][Plsb]3[Pplu][var1][Prsb] [SEP][Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var3][Pplu][Plsb][Pbeg]sqrt[Plbb][var2][Prbb][Prsb][Prbb][Prbb] [SEP]||,||[Plsb][var1][Pplu][Plsb][Pbeg]tan[Plbb]3[Prbb][Prsb][Prsb][Plsb]5[Pplu]9[Prsb] ||,||65
cp減[var1]分之0[SEP][Plsb]cp[Prsb][Pmin][Pbeg]frac[Plbb]0[Prbb][Plbb][var1][Prbb] [SEP][Plsb]0[var3][Prsb][Pmin][Plsb][var1][Pmin][var2][Prsb] [SEP][Pbeg]frac[Plbb][Plsb]cc[Prsb][var4][Prbb][Plbb][var1][Prbb][Plbb][var3][Prbb][Pexp][Plbb][var2][Prbb] [SEP][Pbeg]frac[Plbb]0[Prbb][Plbb][var1][Prbb] [SEP][Pbeg]frac[Plbb][Pbeg]pi[Prbb][Plbb][Pbeg]log[Psub][Plbb]0[Prbb][var1][Prbb] [SEP]||,||[Plsb]cp[Prsb][Pmin][Pbeg]frac[Plbb]0[Prbb][Plbb][var1][Prbb] ||,||66
log[Pspa]2[Pspa]2[SEP][Pbeg]log[Psub][Plbb]2[Prbb]2 [SEP][Pbeg]log[Psub][Plbb]2[Prbb][var1] [SEP][Pbeg]log[Psub][Plbb]2[Prbb][Plbb][var1][Prbb][Pexp][Plbb][Plsb]kz[Prsb][Pplu][var2][Prbb] [SEP]2[Pmin][Plsb][Pbeg]log[Psub][Plbb][var1][Prbb]rR[Prsb] [SEP][Pbeg]log[Psub][Plbb]1[Prbb][Pbeg]log[Psub][Plbb]2[Prbb][Pbeg]log[Psub][Plbb]1[Prbb][var1] [SEP]||,||[Pbeg]log[Psub][Plbb]2[Prbb]2 ||,||67
sin[Pspa]7[SEP][Pbeg]sin[Plbb]7[Prbb] [SEP][Pbeg]cos[Plbb]7[Prbb] [SEP][Pbeg]tan[Plbb]7[Prbb] [SEP][Pbeg]sin[Plbb]8[Prbb] [SEP][Plbb]7[Prbb][Pexp][Plbb][var1][Prbb] [SEP]||,||[Pbeg]sin[Plbb]7[Prbb] ||,||68
cos[Pspa]根號pi的[var1]分之2次方[SEP][Plbb][var2][Pmin][var3][Prbb][Pexp][Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb] [SEP][Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][Pbeg]pi[Pbeg]frac[Plbb]2[Prbb][Plbb][var1][Prbb][Prbb][Prbb] [SEP][Pbeg]cos[Plbb][Pbeg]frac[Plbb]2[Prbb][Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Prbb] [SEP][Plbb][var2][Prbb][Pexp][Plbb][Pbeg]sin[Plbb][Plbb][var1][Prbb][Pexp][Plbb][Pbeg]pi[Prbb][Prbb][Prbb] [SEP][Plbb][Pbeg]cos[Plbb][var2][Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP]||,||[Pbeg]cos[Plbb][Pbeg]sqrt[Plbb][Pbeg]pi[Pbeg]frac[Plbb]2[Prbb][Plbb][var1][Prbb][Prbb][Prbb] ||,||69
6減41[SEP]6[Pmin][Plsb]41[Prsb] [SEP]6[Pplu][Plbb]6[Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plbb]6[Prbb][Pexp][Plbb][var1][Prbb][Pmin][var2] [SEP]6[Plsb][Plsb][Pbeg]sin[Plbb]6[Prbb][Prsb][Pmin][var1][Prsb] [SEP][Pbeg]sqrt[Plbb]40[Prbb] [SEP]||,||6[Pmin][Plsb]41[Prsb] ||,||70
tan[Pspa]8乘上括號1加log[Pspa][var2][Pspa][var1][SEP][Plbb]0[Prbb][Pexp][Plbb]2[Pplu][Pbeg]log[Psub][Plbb]7[Prbb][Pbeg]log[Psub][Plbb][var1][Prbb][Pbeg]log[Psub][Plbb]1[Prbb][var2][Prbb] [SEP][Pbeg]tan[Plbb]8[Plsb]1[Pplu][Pbeg]log[Psub][Plbb][var2][Prbb][var1][Prsb][Prbb] [SEP][Pbeg]tan[Plbb][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][var1][Pplu][var2][Prsb][Prbb] [SEP][Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Plsb][var1][Pmin][var4][Prsb][Pmin][var3][Prsb][Prbb] [SEP][Pbeg]log[Psub][Plbb][var2][Prbb][Plsb]1[Pmin][Plsb]1[Pplu][var1][Prsb][Prsb] [SEP]||,||[Pbeg]tan[Plbb]8[Plsb]1[Pplu][Pbeg]log[Psub][Plbb][var2][Prbb][var1][Prsb][Prbb] ||,||71
cos[Pspa]0[SEP][Pbeg]cos[Plbb]0[Prbb] [SEP][Pbeg]cos[Plbb][var1][Prbb] [SEP][Pbeg]cos[Plbb]0[Pplu][Plsb]0[Pbeg]frac[Plbb]1[Prbb][Plbb]0[Prbb][Prsb][Prbb] [SEP][Pbeg]sqrt[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb] [SEP][Pbeg]sqrt[Plbb]0[Prbb] [SEP]||,||[Pbeg]cos[Plbb]0[Prbb] ||,||72
cos[Pspa][var1][SEP][Pbeg]cos[Plbb][var1][Prbb] [SEP][var1][Pplu][Plsb][Pbeg]cos[Plbb][var2][Prbb][Prsb] [SEP][Pbeg]cos[Plbb][Pbeg]pi[Prbb] [SEP][var2][Pmin][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] [SEP][Pbeg]sqrt[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb] [SEP]||,||[Pbeg]cos[Plbb][var1][Prbb] ||,||73
[var2]減括號pi加[var1][Pspa]分之4[SEP][Pbeg]frac[Plbb]4[Prbb][Plbb][var2][Pmin][Plsb][Pbeg]pi[Pplu][var1][Prsb][Prbb] [SEP][Pbeg]log[Psub][Plbb][Pbeg]sqrt[Plbb]4[Prbb][Prbb][Plsb][var1][Pplu][Pbeg]pi[Prsb] [SEP][Plbb]6[Prbb][Pexp][Plbb][Pbeg]frac[Plbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb][Prbb][Plbb][Pbeg]pi[Prbb][Prbb] [SEP][Plbb][var1][Prbb][Pexp][Plbb][Pbeg]pi[Pmin][Plsb]cy[Prsb][Prbb] [SEP][Plsb][Pbeg]frac[Plbb][var3][Prbb][Plbb][var1][Prbb][Pmin][var2][Prsb][Plsb]3[Pmin][Pbeg]pi[Prsb] [SEP]||,||[Pbeg]frac[Plbb]4[Prbb][Plbb][var2][Pmin][Plsb][Pbeg]pi[Pplu][var1][Prsb][Prbb] ||,||74
[var1]以2為底的對數[SEP][Pbeg]log[Psub][Plbb]2[Prbb][Plbb][var1][Prbb][Pexp][Plbb][Plsb]kz[Prsb][Pplu][var2][Prbb] [SEP][Pbeg]log[Psub][Plbb]1[Prbb][Pbeg]log[Psub][Plbb]2[Prbb][Pbeg]log[Psub][Plbb]1[Prbb][var1] [SEP]2[Pmin][Plsb][Pbeg]log[Psub][Plbb][var1][Prbb]rR[Prsb] [SEP][Pbeg]log[Psub][Plbb]2[Prbb][Plsb]3[Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb][Prsb] [SEP][Pbeg]log[Psub][Plbb]0[Prbb][Pbeg]frac[Plbb]2[Prbb][Plbb][Pbeg]cos[Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb][Prbb] [SEP]||,||[Pbeg]log[Psub][Plbb]2[Prbb][var1] ||,||75
sin[Pspa]7[SEP][Pbeg]sin[Plbb]7[Prbb] [SEP][Pbeg]cos[Plbb]7[Prbb] [SEP][Pbeg]tan[Plbb]7[Prbb] [SEP][Pbeg]sin[Plbb]8[Prbb] [SEP][Plbb]7[Prbb][Pexp][Plbb][var1][Prbb] [SEP]||,||[Pbeg]sin[Plbb]7[Prbb] ||,||76
[var1]分之5[SEP][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb] [SEP][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb] [SEP][Plbb]5[Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Prbb] [SEP][Pbeg]frac[Plbb]5[Pplu][var2][Prbb][Plbb][var1][Prbb] [SEP][Plbb]5[Prbb][Pexp][Plbb][var1][Prbb] [SEP]||,||[Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb] ||,||77
tan[Pspa][var1][SEP][Pbeg]tan[Plbb][var1][Prbb] [SEP][Pbeg]tan[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb] [SEP][Pbeg]tan[Plbb]1[Prbb] [SEP][Pbeg]tan[Plbb][Plbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Prbb] [SEP][Plbb][var2][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb] [SEP]||,||[Pbeg]tan[Plbb][var1][Prbb] ||,||78
[var1]以0為底的對數值[SEP][Plsb]0[var3][Prsb][Pmin][Plsb][var1][Pmin][var2][Prsb] [SEP][var2][Pmin][Pbeg]log[Psub][Plbb]0[Prbb][Plbb]1[Prbb][Pexp][Plbb][var1][Prbb] [SEP][Pbeg]log[Psub][Plbb]0[Prbb][var1] [SEP][Pbeg]log[Psub][Plbb][var4][Pmin][var1][Prbb][Plbb][var2][Prbb][Pexp][Plbb][var3][Prbb] [SEP][Pbeg]cos[Plbb][Pbeg]log[Psub][Plbb]0[Prbb][Plsb][var2][Pplu][var1][Prsb][Prbb] [SEP]||,||[Pbeg]log[Psub][Plbb]0[Prbb][var1] ||,||79
4加[Pspa]sin[Pspa][var1][SEP][var2][Pplu][Plbb]4[Pplu][var1][Prbb][Pexp][Plbb]n[Prbb] [SEP][Pbeg]sin[Plbb]4[Prbb] [SEP]4[Pplu][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb] [SEP][Plbb][var2][Prbb][Pexp][Plbb]4[var1][Prbb] [SEP][Plbb][Pbeg]log[Psub][Plbb][Pbeg]sin[Plbb][var2][Prbb][Prbb][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][Prbb][Pexp][Plbb]4[var3][Prbb] [SEP]||,||4[Pplu][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb] ||,||80
[var2]分之[Pspa]sin[Pspa][var1][SEP][Pbeg]frac[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb] [SEP][Pbeg]sin[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb] [SEP][Plsb][Pbeg]sin[Plbb][var1][Prbb][Prsb][var2] [SEP][Plsb][Pbeg]sin[Plbb][var2][Prbb][Prsb][var1] [SEP][Pbeg]sin[Plbb][Plbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Pplu][var3][Prbb] [SEP]||,||[Pbeg]frac[Plbb][Pbeg]sin[Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb] ||,||81
tan[Pspa][var2][Pspa]乘以[Pspa]9[Pspa]乘括號[var1]減[var3][SEP][Plbb][Pbeg]tan[Plbb]9[Prbb][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb] [SEP][Plsb][Pbeg]tan[Plbb][var2][Prbb][Prsb][Plsb]9[Plsb][var1][Pmin][var3][Prsb][Prsb] [SEP][Pbeg]log[Psub][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb][var2] [SEP][Plbb][var2][Prbb][Pexp][Plbb][Plbb][Pbeg]sqrt[Plbb]9[Prbb][Prbb][Pexp][Plbb][var1][Prbb][Prbb] [SEP][Pbeg]tan[Plbb][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][var1][Pplu][var2][Prsb][Prbb] [SEP]||,||[Plsb][Pbeg]tan[Plbb][var2][Prbb][Prsb][Plsb]9[Plsb][var1][Pmin][var3][Prsb][Prsb] ||,||82
0加[var1][SEP][Plsb]0[var3][Prsb][Pmin][Plsb][var1][Pmin][var2][Prsb] [SEP][var2][Plsb]0[Pplu][var1][Prsb] [SEP][Plsb]0[Pplu][var2][Prsb][Pmin][var1] [SEP]0[Pplu][var1] [SEP][Pbeg]sqrt[Plbb]0[Prbb] [SEP]||,||0[Pplu][var1] ||,||83
[var2]根號5的[var1]次方[SEP][Plbb]5[Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Prbb] [SEP][var2][Plbb][Pbeg]sqrt[Plbb]5[Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][Pbeg]tan[Plbb][var1][Prbb][Prbb][Prbb][Pexp][Plbb][Pbeg]tan[Plbb][var3][Pplu][Plsb][Pbeg]sqrt[Plbb][var2][Prbb][Prsb][Prbb][Prbb] [SEP][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb] [SEP][var3][Pmin][Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb][var2] [SEP]||,||[var2][Plbb][Pbeg]sqrt[Plbb]5[Prbb][Prbb][Pexp][Plbb][var1][Prbb] ||,||84
根號5[SEP][Plbb]5[Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Prbb] [SEP][Pbeg]sqrt[Plbb]5[Prbb] [SEP][var2][Plbb][Pbeg]sqrt[Plbb]5[Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb] [SEP][Plbb]5[Prbb][Pexp][Plbb][var1][Prbb] [SEP]||,||[Pbeg]sqrt[Plbb]5[Prbb] ||,||85
[var1]分之5加[var2][SEP][Pbeg]frac[Plbb]5[Pplu][var2][Prbb][Plbb][var1][Prbb] [SEP][Plbb]5[Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Prbb] [SEP][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb] [SEP][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb] [SEP][var3][Pmin][Pbeg]log[Psub][Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb][var2] [SEP]||,||[Pbeg]frac[Plbb]5[Pplu][var2][Prbb][Plbb][var1][Prbb] ||,||86
5的[var1]次方[SEP][Plbb]5[Prbb][Pexp][Plbb][Pbeg]sqrt[Plbb][Pbeg]sqrt[Plbb][var1][Prbb][Prbb][Prbb] [SEP][Plbb]5[Prbb][Pexp][Plbb][var1][Prbb] [SEP][var2][Plbb][Pbeg]sqrt[Plbb]5[Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plbb][Plbb]5[Prbb][Pexp][Plbb]1[Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb][Prbb] [SEP]||,||[Plbb]5[Prbb][Pexp][Plbb][var1][Prbb] ||,||87
[var1]分之[var2][SEP][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb] [SEP][Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb] [SEP][var2][Pmin][Pbeg]frac[Plbb][var3][Prbb][Plbb][var1][Prbb] [SEP][Pbeg]frac[Plbb][Plsb]cc[Prsb][var4][Prbb][Plbb][var1][Prbb][Plbb][var3][Prbb][Pexp][Plbb][var2][Prbb] [SEP][Plbb][Pbeg]log[Psub][Plbb][var4][Prbb][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb][Prbb][Pexp][Plbb][var3][Prbb] [SEP]||,||[Pbeg]frac[Plbb][var2][Prbb][Plbb][var1][Prbb] ||,||88
[var1]以cos[Pspa]3為底的對數[SEP][Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb]3[Prbb][Prbb][var1] [SEP][Pbeg]log[Psub][Plbb][var1][Prbb][Pbeg]frac[Plbb]3[Prbb][Plbb][var2][Prbb] [SEP][Plbb][var2][Prbb][Pexp][Plbb]3[Pmin][Pbeg]log[Psub][Plbb][Pbeg]pi[Prbb][var1][Prbb] [SEP][Pbeg]log[Psub][Plbb]3[var1][Prbb][var2] [SEP][Pbeg]log[Psub][Plbb][var1][Prbb][Plsb][Plsb][Pbeg]tan[Plbb][var2][Prbb][Prsb][Pplu][Plsb][Pbeg]sin[Plbb]3[Prbb][Prsb][Prsb] [SEP]||,||[Pbeg]log[Psub][Plbb][Pbeg]cos[Plbb]3[Prbb][Prbb][var1] ||,||89
[var1]加括號8減[var2][SEP][Plsb][Plsb]8[Pplu][var4][Prsb][Pmin][Plsb][var3][Pplu][var2][Prsb][Prsb][var1] [SEP][Pbeg]frac[Plbb][var2][Prbb][Plbb][Pbeg]log[Psub][Plbb]8[Prbb][Plsb][Plsb][var1][Pmin][var4][Prsb][Pmin][var3][Prsb][Prbb] [SEP][Plsb][var3][Pmin][var1][Prsb][Pmin][Plsb]8[Pplu][var2][Prsb] [SEP][Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb][var3] [SEP][Plsb][Plsb][Pbeg]sqrt[Plbb]8[Prbb][Prsb][Pplu][Plsb]0[Pmin][var2][Prsb][Prsb][Pplu][var1] [SEP]||,||[var1][Pplu][Plsb]8[Pmin][var2][Prsb] ||,||90
[var2]減cos[Pspa][var1][SEP][Plbb][var2][Pmin][var3][Prbb][Pexp][Plbb][Pbeg]cos[Plbb][var1][Prbb][Prbb] [SEP][var2][Pmin][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] [SEP][Plbb][Pbeg]cos[Plbb][var2][Prbb][Prbb][Pexp][Plbb][var1][Prbb] [SEP][Plsb][var3][Pplu][var2][Prsb][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] [SEP][var1][Pplu][Plsb][Pbeg]cos[Plbb][var2][Prbb][Prsb] [SEP]||,||[var2][Pmin][Plsb][Pbeg]cos[Plbb][var1][Prbb][Prsb] ||,||91
